Comment_ID,Comment_Text,Toxicity_Label,Clean,Toxic,Severe_Toxic,Threat,Identity_Attack,Toxicity_Score,Comment_Length,Word_Count,Platform,Topic,Moderation_Priority,Language
COM000001,The message targets a group unfairly and violates community rules.,Identity_Attack,0,1,0,0,1,0.818,66,10,Community Chat,Sports,High,English
COM000002,Thank you for sharing this perspective with the community.,Clean,1,0,0,0,0,0.069,58,9,News Comments,Entertainment,High,English
COM000003,That response is aggressive and not helpful.,Toxic,0,1,0,0,0,0.622,44,7,Social Media,Politics,Low,English
COM000004,I appreciate your explanation and the discussion was helpful.,Clean,1,0,0,0,0,0.01,61,9,Social Media,Entertainment,Low,English
COM000005,I respectfully disagree but I understand your point.,Clean,1,0,0,0,0,0.14,52,8,Blog,Sports,Low,English
COM000006,That response is aggressive and not helpful.,Toxic,0,1,0,0,0,0.729,44,7,Social Media,Technology,Low,English
COM000007,I respectfully disagree but I understand your point.,Clean,1,0,0,0,0,0.193,52,8,Blog,Entertainment,Low,English
COM000008,I appreciate your explanation and the discussion was helpful.,Clean,1,0,0,0,0,0.183,61,9,Forum,Gaming,Low,English
COM000009,This article provides useful information and clear examples.,Clean,1,0,0,0,0,0.142,60,8,Social Media,Education,Medium,English
COM000010,I appreciate your explanation and the discussion was helpful.,Clean,1,0,0,0,0,0.153,61,9,Forum,Entertainment,Low,English
COM000011,This reply contains a threat-like statement and is unsafe.,Threat,0,1,0,1,0,0.848,58,9,Blog,Sports,Low,English
COM000012,I respectfully disagree but I understand your point.,Clean,1,0,0,0,0,0.089,52,8,News Comments,Sports,High,English
COM000013,This comment is rude and disrespectful.,Toxic,0,1,0,0,0,0.57,39,6,News Comments,Technology,High,English
COM000014,This comment is rude and disrespectful.,Toxic,0,1,0,0,0,0.532,39,6,News Comments,Sports,High,English
COM000015,Thank you for sharing this perspective with the community.,Clean,1,0,0,0,0,0.062,58,9,Forum,Technology,High,English
COM000016,This reply contains a threat-like statement and is unsafe.,Threat,0,1,0,1,0,0.872,58,9,News Comments,Education,Low,English
COM000017,I appreciate your explanation and the discussion was helpful.,Clean,1,0,0,0,0,0.114,61,9,Forum,Gaming,Low,English
COM000018,I respectfully disagree but I understand your point.,Clean,1,0,0,0,0,0.185,52,8,Social Media,Entertainment,Low,English
COM000019,This comment is rude and disrespectful.,Toxic,0,1,0,0,0,0.593,39,6,Blog,Technology,Medium,English
COM000020,This message includes threatening language and should be reviewed.,Threat,0,1,0,1,0,0.734,66,9,Blog,Politics,Medium,English
COM000021,The tone of this message is toxic and inappropriate.,Toxic,0,1,0,0,0,0.589,52,9,Community Chat,Gaming,Medium,English
COM000022,Thank you for sharing this perspective with the community.,Clean,1,0,0,0,0,0.11,58,9,Forum,Entertainment,Medium,English
COM000023,I respectfully disagree but I understand your point.,Clean,1,0,0,0,0,0.033,52,8,News Comments,Entertainment,Medium,English
COM000024,Your message is unnecessarily hostile and offensive.,Toxic,0,1,0,0,0,0.539,52,7,Blog,Technology,Low,English
COM000025,This article provides useful information and clear examples.,Clean,1,0,0,0,0,0.131,60,8,News Comments,Technology,High,English
COM000026,This article provides useful information and clear examples.,Clean,1,0,0,0,0,0.037,60,8,Social Media,Gaming,High,English
